id,type,latitude,longitude,streetName,streetNumber,altitude,slots,bikes,nearbyStations,status
455,BIKE-ELECTRIC,41.388966,2.19917,(PK) AV. DEL LITORAL,34,1,8,2,"467, 479",OPN
456,BIKE-ELECTRIC,41.389853,2.128581,(PK) C/ DE FLOS I CALCAT,2,60,7,5,"458, 470",OPN
457,BIKE-ELECTRIC,41.401519,2.134235,(PK) C/ DE JOSEP BALARÍ,2,106,8,4,"465, 470",OPN
458,BIKE-ELECTRIC,41.384344,2.122085,(PK) AV. JOAN XXIII,23-25,60,10,2,"456, 471",OPN
459,BIKE-ELECTRIC,41.393941,2.181443,(PK) C/ D'ALÍ BEI,54,21,5,7,"452, 492",OPN
460,BIKE-ELECTRIC,41.385702,2.177316,(PK) AV. FRANCESC CAMBÓ,10,16,5,7,"485, 493",OPN
461,BIKE-ELECTRIC,41.384111,2.14274,(PK) AV. JOSEP TARRADELLAS,46,51,6,6,"452, 481",OPN
462,BIKE-ELECTRIC,41.390125,2.143221,(PK) AV. JOSEP TARRADELLAS,139,51,6,4,"461, 487",OPN
463,BIKE-ELECTRIC,41.375244,2.169795,(PK) C/ DE L´ABAT SAFONT,2,1,5,5,"453, 480",OPN
464,BIKE-ELECTRIC,41.427727,2.177205,"(PK) C/ DE RAMON ALBÓ, 77s",77,42,6,6,"468, 488",OPN
465,BIKE-ELECTRIC,41.40542,2.142456,(PK) RDA. DEL GENERAL MITRE,203,76,8,3,"457, 472",OPN
466,BIKE-ELECTRIC,41.415745,2.180684,(PK) PG. MARAGALL,54,33,5,7,"475, 488",OPN
467,BIKE-ELECTRIC,41.38582,2.194135,(PK) C/ DEL DR. AIGUADER,86-88,1,8,4,"455, 479",OPN
468,BIKE-ELECTRIC,41.430201,2.187974,(PK) C/ DE LES MONGES,2,27,8,4,"464, 488",OPN
469,BIKE-ELECTRIC,41.404362,2.197132,(PK) RAMBLA DEL POBLENOU,130,32,6,5,"454, 476",OPN
470,BIKE-ELECTRIC,41.397921,2.125411,(PK) C/ CARDENAL DE SENTMENAT,8,82,10,2,"457, 471",OPN
471,BIKE-ELECTRIC,41.39415,2.114973,(PK) C/ MARQUÈS DE MULHACÉN,51,101,9,3,"458, 470",OPN
472,BIKE-ELECTRIC,41.407353,2.151341,(PK) C/ DEL TORRENT DE L´OLLA,221,72,7,3,"465, 474",OPN
473,BIKE-ELECTRIC,41.404459,2.214978,(PK) PG. DE GARCIA FÀRIA,71,1,9,3,"454, 482",OPN
474,BIKE-ELECTRIC,41.3989,2.153668,(PK) PL. GAL·LA PLACÍDIA,2,59,5,5,"483, 486",OPN
475,BIKE-ELECTRIC,41.408528,2.169385,(PK) C/ DE LA MARINA,345,59,9,3,"483, 496",OPN
476,BIKE-ELECTRIC,41.402459,2.19042,(PK) C/ DE BADAJOZ,168,18,9,3,"452, 469",OPN
477,BIKE-ELECTRIC,41.376648,2.178745,(PK) PG. DE COLOM,1,1,5,5,"478, 493",OPN
478,BIKE-ELECTRIC,41.3798,2.1891,(PK) C/ DEL BALUARD,27,1,5,6,"467, 477",OPN
479,BIKE-ELECTRIC,41.387298,2.196595,(PK) C/ DE LA MARINA,13-17,1,7,5,"455, 467",OPN
480,BIKE-ELECTRIC,41.381516,2.170239,(PK) C/ DELS FLORISTES DE LA RAMBLA ,8,24,6,6,"463, 493",OPN
481,BIKE-ELECTRIC,41.383036,2.150337,(PK) C/ DE VALÈNCIA,77,44,7,5,"461, 495",OPN
482,BIKE-ELECTRIC,41.41306,2.22123,(PK) PL. D'ERNEST LLUCH I MARTIN,SN,1,7,5,"473, 489",OPN
483,BIKE-ELECTRIC,41.401752,2.160748,(PK) C/ DE SIRACUSA,39-51,58,6,6,"474, 486",OPN
484,BIKE-ELECTRIC,41.388101,2.166997,(PK) RAMBLA CATALUNYA - RDA. UNIVERSITAT,SN,40,5,7,"485, 494",OPN
485,BIKE-ELECTRIC,41.389914,2.173239,(PK) PLAÇA URQUINAONA,SN,32,9,1,"460, 492",OPN
486,BIKE-ELECTRIC,41.396934,2.159445,(PK) PG. DE GRÀCIA - DIAGONAL,,50,7,5,"451, 474",OPN
487,BIKE-ELECTRIC,41.38921,2.154,(PK) PL. DE FERRER I CAJIGAL,,45,6,6,"462, 481",OPN
488,BIKE-ELECTRIC,41.423976,2.184391,(PK) C/ DE CIENFUEGOS,13,18,10,2,"464, 468",OPN
489,BIKE-ELECTRIC,41.409532,2.188282,(PK) PLAÇA CANONGE RODÓ,SN,40,5,6,"469, 482",OPN
490,BIKE-ELECTRIC,41.39698,2.197721,"(PK) C/ DE BADAJOZ, 58",58,11,3,0,"454, 469",CLS
491,BIKE-ELECTRIC,41.37252,2.12898,(PK) C/ DE CARRERAS I CANDI,65,61,8,4,"458, 495",OPN
492,BIKE-ELECTRIC,41.394232,2.175278,PL. DE TETUAN,8-9 ,21,11,13,"459, 485",OPN
493,BIKE-ELECTRIC,41.38186,2.177086,PL. SANT MIQUEL,4,8,11,13,"460, 477",OPN
494,BIKE-ELECTRIC,41.389481,2.165357,RAMBLA CATALUNYA,31,41,14,9,"484, 485",OPN
495,BIKE-ELECTRIC,41.377191,2.149283,C/ DIPUTACIÓ - TARRAGONA,SN,45,16,8,"451, 481",OPN
496,BIKE-ELECTRIC,41.404871,2.175141,C/ DE PROVENÇA,445,21,8,16,"452, 475",OPN
